ID1,ID2,obsdttm,obsval
2,1,4/28/2012 0:00,110
2,1,4/30/2011 0:00,134
2,1,4/6/2013 0:00,208
2,1,4/7/2012 0:00,118
2,1,4/9/2011 0:00,84
2,1,5/11/2013 0:00,208
2,1,5/12/2012 0:00,168
2,1,5/14/2011 0:00,180
2,1,5/18/2013 0:00,164
2,1,5/19/2012 0:00,180
2,1,5/21/2011 0:00,166
2,1,5/25/2013 0:00,152
2,1,5/26/2012 0:00,138
2,1,5/28/2011 0:00,148
2,1,5/4/2013 0:00,272
2,1,5/5/2012 0:00,132
2,1,5/7/2011 0:00,178
2,1,6/1/2013 0:00,206
2,1,6/11/2011 0:00,186
2,1,6/15/2013 0:00,172
2,1,6/16/2012 0:00,208
2,1,6/18/2011 0:00,188
2,1,6/2/2012 0:00,196
2,1,6/22/2013 0:00,156
2,1,6/23/2012 0:00,150
2,1,6/25/2011 0:00,230
2,1,6/29/2013 0:00,184
2,1,6/30/2012 0:00,148
2,1,6/4/2011 0:00,132
2,1,6/8/2013 0:00,234
2,1,6/9/2012 0:00,174
2,1,7/13/2013 0:00,136
2,1,7/14/2012 0:00,180
2,1,7/16/2011 0:00,114
2,1,7/2/2011 0:00,146
2,1,7/20/2013 0:00,148
2,1,7/21/2012 0:00,142
2,1,7/23/2011 0:00,102
2,1,7/27/2013 0:00,142
2,1,7/28/2012 0:00,134
2,1,7/30/2011 0:00,110
2,1,7/6/2013 0:00,264
2,1,7/7/2012 0:00,144
2,1,7/9/2011 0:00,142
2,1,8/10/2013 0:00,122
2,1,8/11/2012 0:00,202
2,1,8/13/2011 0:00,126
2,1,8/17/2013 0:00,160
2,1,8/18/2012 0:00,194
2,1,8/20/2011 0:00,68
2,1,8/24/2013 0:00,158
2,1,8/25/2012 0:00,154
2,1,8/27/2011 0:00,98
2,1,8/3/2013 0:00,114
2,1,8/31/2013 0:00,108
2,1,8/4/2012 0:00,136
2,1,8/6/2011 0:00,96
2,1,9/1/2012 0:00,134
2,1,9/10/2011 0:00,114
2,1,9/14/2013 0:00,146
2,1,9/15/2012 0:00,152
2,1,9/17/2011 0:00,80
2,1,9/21/2013 0:00,134
2,1,9/22/2012 0:00,142
2,1,9/24/2011 0:00,120
2,1,9/28/2013 0:00,122
2,1,9/29/2012 0:00,124
2,1,9/3/2011 0:00,112
2,1,9/7/2013 0:00,154
2,1,9/8/2012 0:00,154
3,1,1/1/2011 0:00,62
3,1,1/12/2013 0:00,38
3,1,1/14/2012 0:00,72
3,1,1/15/2011 0:00,64
3,1,1/19/2013 0:00,30
3,1,1/21/2012 0:00,62
3,1,1/22/2011 0:00,58
3,1,1/26/2013 0:00,34
3,1,1/28/2012 0:00,60
3,1,1/29/2011 0:00,120
3,1,1/5/2013 0:00,36
3,1,1/7/2012 0:00,56
3,1,1/8/2011 0:00,54
3,1,10/1/2011 0:00,32
3,1,10/12/2013 0:00,62
3,1,10/13/2012 0:00,60
3,1,10/15/2011 0:00,52
3,1,10/19/2013 0:00,54
3,1,10/20/2012 0:00,52
3,1,10/22/2011 0:00,44
3,1,10/26/2013 0:00,62
3,1,10/27/2012 0:00,52
3,1,10/29/2011 0:00,40
3,1,10/5/2013 0:00,44
3,1,10/6/2012 0:00,64
3,1,10/8/2011 0:00,68
3,1,11/10/2012 0:00,58
3,1,11/12/2011 0:00,62
3,1,11/13/2010 0:00,70
3,1,11/16/2013 0:00,74
3,1,11/17/2012 0:00,56
3,1,11/19/2011 0:00,76
3,1,11/20/2010 0:00,44
3,1,11/23/2013 0:00,62
3,1,11/24/2012 0:00,74
3,1,11/26/2011 0:00,72
3,1,11/27/2010 0:00,42
3,1,11/3/2012 0:00,58
3,1,11/30/2013 0:00,60
3,1,11/5/2011 0:00,52
3,1,11/6/2010 0:00,60
3,1,11/9/2013 0:00,54
3,1,12/1/2012 0:00,62
3,1,12/10/2011 0:00,40
